system:index,analysis_scale_m,boundary_source,cloud_mask,collection,composite_method,feature_stack,max_cloud_percentage,period_end,period_start,year,.geo
0,10,projects/uas-kpia-2/assets/Maysan_Boundary,"SCL 3, 8, 9, 10, dan 11 dimask",COPERNICUS/S2_SR_HARMONIZED,Median + p25/p75 + stdDev,"B2, B3, B4, B5, B6, B7, B8, B8A, B11, B12, NDVI, NDWI, MNDWI, NDBI, BSI, NDMI, SAVI, EVI, AWEI_SH, AWEI_NSH, RE_NDVI, NBR2, NDVI_p25, NDVI_p75, NDVI_stdDev, NDWI_p25, NDWI_p75, NDWI_stdDev, MNDWI_p25, MNDWI_p75, MNDWI_stdDev, NDBI_p25, NDBI_p75, NDBI_stdDev, BSI_p25, BSI_p75, BSI_stdDev, NDMI_p25, NDMI_p75, NDMI_stdDev, NDVI_MEAN3, NDVI_STD3, MNDWI_MEAN3, MNDWI_STD3, NDBI_MEAN3, NDBI_STD3, BSI_MEAN3, BSI_STD3, DW_WATER, DW_VEGETATION, DW_BUILT, DW_BARE, S1_VV, S1_VH, S1_VV_MINUS_VH, GSW_OCCURRENCE, GSW_SEASONALITY, AUX_TARGET, SPECTRAL_TARGET",20,2020-09-30,2020-06-01,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,10,projects/uas-kpia-2/assets/Maysan_Boundary,"SCL 3, 8, 9, 10, dan 11 dimask",COPERNICUS/S2_SR_HARMONIZED,Median + p25/p75 + stdDev,"B2, B3, B4, B5, B6, B7, B8, B8A, B11, B12, NDVI, NDWI, MNDWI, NDBI, BSI, NDMI, SAVI, EVI, AWEI_SH, AWEI_NSH, RE_NDVI, NBR2, NDVI_p25, NDVI_p75, NDVI_stdDev, NDWI_p25, NDWI_p75, NDWI_stdDev, MNDWI_p25, MNDWI_p75, MNDWI_stdDev, NDBI_p25, NDBI_p75, NDBI_stdDev, BSI_p25, BSI_p75, BSI_stdDev, NDMI_p25, NDMI_p75, NDMI_stdDev, NDVI_MEAN3, NDVI_STD3, MNDWI_MEAN3, MNDWI_STD3, NDBI_MEAN3, NDBI_STD3, BSI_MEAN3, BSI_STD3, DW_WATER, DW_VEGETATION, DW_BUILT, DW_BARE, S1_VV, S1_VH, S1_VV_MINUS_VH, GSW_OCCURRENCE, GSW_SEASONALITY, AUX_TARGET, SPECTRAL_TARGET",20,2025-09-30,2025-06-01,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
